"","YR","SP","DEPTH","LAT","LON","ASDIST","DTEOC"
"229",1968,13,55,35.633333,-74.916667,186.044143310849,52.964973748459
"230",1969,13,281,36.3,-74.783333,245.174094649765,88.1497064734774
"231",1970,13,101,37.45,-74.6916665,343.066198127303,73.0302216504827
"232",1971,13,75,36.05,-74.866667,220.724090630957,68.786431970485
"233",1972,13,125.25,36.08958325,-74.90625,221.819725469828,68.8200718372318
"234",1973,13,38.3695652173913,38.978623173913,-74.2438406086956,500.071162889148,19.8746152500049
"235",1974,13,37.3684210526316,37.5929823684211,-74.8333332631579,348.485985612134,38.4673001772806
"236",1975,13,201,36.75,-74.65,291.414042218888,111.379667861665
"237",1976,13,56.75,36.57291675,-74.89791675,260.809484563258,65.4664846509897
"238",1977,13,55.2857142857143,36.0857144285714,-75.0666667142857,211.392027091069,50.4526202286344
"239",1978,13,89.3636363636364,36.3681816363636,-74.8954545454545,244.678644975059,67.3145724847265
"240",1979,13,99.1666666666667,35.836111,-75.0666666666667,192.074739781194,47.4865110497642
"241",1980,13,121.75,36.133333,-74.80833325,231.800970423111,67.2002259753191
"242",1981,13,50,35.6,-74.966667,180.207942955654,47.8091544235728
"243",1982,13,167.166666666667,36.4861111666667,-74.7333335,264.177052053962,82.7373774211041
"244",1983,13,NA,NA,NA,NA,NA
"245",1984,13,143.142857142857,36.4380951428571,-74.8095237142857,255.496587959365,80.1438338765705
"246",1985,13,124.2,36.2500002,-74.8233334,239.645738190375,81.6776453354877
"247",1986,13,150.125,37.4708335,-73.737500125,404.475860724117,101.18041911513
"248",1987,13,204.666666666667,36.35,-74.761111,252.018638041756,84.0048855734935
"249",1988,13,151,36.258333,-74.75833325,244.94496397372,74.4362744869924
"250",1989,13,171.857142857143,36.259524,-74.8238097142857,239.594054536484,81.9722775922011
"251",1990,13,153.833333333333,36.4555555,-74.7527776666667,260.867871930286,79.7933272391888
"252",1991,13,79.5333333333333,36.9877778,-74.7377777333333,302.050410993778,66.2019914251
"253",1992,13,115,36.9378788181818,-74.3848482727273,322.925198734123,90.2771741115392
"254",1993,13,79.4545454545455,36.0575758181818,-75.0363639090909,210.330836888489,48.9537448701192
"255",1994,13,156.333333333333,36.2444443333333,-74.7611113333333,243.596294057614,84.0948512695979
"256",1995,13,130.666666666667,35.9962963333333,-74.8611113333333,217.264036519496,68.3406208291736
"257",1996,13,128.35,36.1650001,-74.7708335,236.526648548796,70.6757578866497
"258",1997,13,82.4615384615385,35.8089745384615,-75.0743589230769,189.012434484948,44.5338395344631
"259",1998,13,139.428571428571,36.3476190714286,-74.6880952857143,256.549244440359,71.1689019871135
"260",1999,13,111.785714285714,36.1038452142857,-74.9226665714286,221.878007014747,65.516594791138
"261",2000,13,121.866666666667,36.200389,-74.8130668666667,236.502286363669,73.1711578107726
"262",2001,13,125.875,36.109132125,-74.8943099375,224.152065778999,63.3423594830364
"263",2002,13,81.5666666666667,36.4269555333333,-74.7885500333333,255.890650599124,61.6505701881772
"264",2003,13,107.933333333333,36.285824,-74.6456051333333,253.628190467125,67.878119868084
"265",2004,13,151.8,36.5689,-74.6140668,276.727057968434,85.1155293474988
"266",2005,13,84.0769230769231,35.8937646923077,-74.9242088461538,205.187943953292,58.5910221124978
"267",2006,13,94.2352941176471,36.7186617058823,-74.6870108823529,286.700230551223,75.4139176698625
"268",2007,13,126.85,36.3939765,-74.7291507,257.257129642727,72.5957541507139
"269",2008,13,86.1052631578947,36.1249649473684,-75.016802631579,217.462107636619,59.3309488476938
"270",2009,13,79.95,36.13322555,-74.76388845,233.9512902094,60.7506812665157
"271",2010,13,187.380952380952,36.8488092857143,-74.4650936190476,309.692637858584,95.1543738582324
"272",2011,13,143.291666666667,36.4295206666667,-74.731347,259.111632486964,80.1343128995046
"273",2012,13,122.666666666667,36.9475129215686,-74.3274200392157,325.953842735085,80.1159236463421
"274",2013,13,141.969230769231,37.5497532307692,-73.7653122923077,409.141764703166,101.668419927706
"275",2014,13,175.352941176471,39.1292468823529,-72.4356305882353,618.881272063979,137.075348139739
"276",2015,13,137.977777777778,37.0549234666667,-74.3078476222222,336.952748008201,92.7485208330521
"277",2016,13,92.7575757575758,38.1437650151515,-73.6665097575758,463.795806037742,79.5900064434217
"278",2017,13,139.262295081967,37.9058725737705,-73.3862060819672,460.97277201014,108.566849619384
"279",2018,13,142.087719298246,37.8910720526316,-73.4412176491228,456.410592228198,106.142311973607
"280",2019,13,144.777777777778,37.8940578148148,-73.2426368333333,468.450501424675,115.044250928721
"281",2020,13,112.851063829787,37.0319078297872,-74.4668652765958,325.061507526564,90.635359802566
"282",2021,13,168.473684210526,38.9138294035088,-72.5185129473684,595.017711450613,127.24486368815
"283",2022,13,138.784615384615,38.6836128461538,-72.2867281230769,588.972899414981,128.995861314316
"284",2023,13,142,40.439833,-68.026,981.460727057212,210.907107867047
"285",2024,13,120.065573770492,37.507525147541,-74.0036319180328,390.384890264468,95.7531120309157
"286",1968,14,NA,NA,NA,NA,NA
"287",1969,14,NA,NA,NA,NA,NA
"288",1970,14,NA,NA,NA,NA,NA
"289",1971,14,NA,NA,NA,NA,NA
"290",1972,14,NA,NA,NA,NA,NA
"291",1973,14,NA,NA,NA,NA,NA
"292",1974,14,NA,NA,NA,NA,NA
"293",1975,14,NA,NA,NA,NA,NA
"294",1976,14,NA,NA,NA,NA,NA
"295",1977,14,NA,NA,NA,NA,NA
"296",1978,14,NA,NA,NA,NA,NA
"297",1979,14,NA,NA,NA,NA,NA
"298",1980,14,NA,NA,NA,NA,NA
"299",1981,14,NA,NA,NA,NA,NA
"300",1982,14,NA,NA,NA,NA,NA
"301",1983,14,NA,NA,NA,NA,NA
"302",1984,14,NA,NA,NA,NA,NA
"303",1985,14,NA,NA,NA,NA,NA
"304",1986,14,NA,NA,NA,NA,NA
"305",1987,14,NA,NA,NA,NA,NA
"306",1988,14,NA,NA,NA,NA,NA
"307",1989,14,NA,NA,NA,NA,NA
"308",1990,14,NA,NA,NA,NA,NA
"309",1991,14,NA,NA,NA,NA,NA
"310",1992,14,NA,NA,NA,NA,NA
"311",1993,14,NA,NA,NA,NA,NA
"312",1994,14,NA,NA,NA,NA,NA
"313",1995,14,NA,NA,NA,NA,NA
"314",1996,14,NA,NA,NA,NA,NA
"315",1997,14,NA,NA,NA,NA,NA
"316",1998,14,NA,NA,NA,NA,NA
"317",1999,14,NA,NA,NA,NA,NA
"318",2000,14,NA,NA,NA,NA,NA
"319",2001,14,NA,NA,NA,NA,NA
"320",2002,14,NA,NA,NA,NA,NA
"321",2003,14,NA,NA,NA,NA,NA
"322",2004,14,NA,NA,NA,NA,NA
"323",2005,14,NA,NA,NA,NA,NA
"324",2006,14,NA,NA,NA,NA,NA
"325",2007,14,NA,NA,NA,NA,NA
"326",2008,14,NA,NA,NA,NA,NA
"327",2009,14,NA,NA,NA,NA,NA
"328",2010,14,NA,NA,NA,NA,NA
"329",2011,14,NA,NA,NA,NA,NA
"330",2012,14,NA,NA,NA,NA,NA
"331",2013,14,NA,NA,NA,NA,NA
"332",2014,14,NA,NA,NA,NA,NA
"333",2015,14,NA,NA,NA,NA,NA
"334",2016,14,NA,NA,NA,NA,NA
"335",2017,14,NA,NA,NA,NA,NA
"336",2018,14,NA,NA,NA,NA,NA
"337",2019,14,NA,NA,NA,NA,NA
"338",2020,14,NA,NA,NA,NA,NA
"339",2021,14,NA,NA,NA,NA,NA
"340",2022,14,NA,NA,NA,NA,NA
"341",2023,14,NA,NA,NA,NA,NA
"342",2024,14,NA,NA,NA,NA,NA
"343",1968,15,123.826923076923,39.4801281602564,-71.7869658141026,684.028069432222,110.935607462728
"344",1969,15,128.985365853659,40.0351219804878,-70.9364227512195,779.581877184919,117.16304600599
"345",1970,15,132.232954545455,40.2587120795455,-71.0521780568182,791.936214767454,110.135456980123
"346",1971,15,127.133640552995,40.1360214976959,-70.9748848018433,785.723393539121,112.050143806927
"347",1972,15,114.989247311828,40.1716845645161,-70.8596774569892,794.754809318483,116.170435186293
"348",1973,15,95.0210084033613,40.3015406260504,-71.2331932605042,784.670025893469,94.593831635524
"349",1974,15,97.3720930232558,40.5848837267442,-70.7208333081395,838.136551647613,102.131981072166
"350",1975,15,110.335403726708,40.5943064161491,-70.3939958757764,857.329812358881,114.856443118045
"351",1976,15,108.031578947368,40.3945614052632,-70.5488596526316,830.993679169848,113.176599574505
"352",1977,15,110.865591397849,40.4534050376344,-70.5151433978495,838.580273410583,113.799232272349
"353",1978,15,115.94578313253,40.1459839156626,-70.5905622710843,807.953763548132,123.941238276088
"354",1979,15,94.4850299401198,40.2343313413174,-70.2920159700599,832.642406026515,127.843386416546
"355",1980,15,107.342560553633,40.4204728823529,-70.0551326747405,862.427511335753,132.44626670245
"356",1981,15,112.367697594502,40.1180985257732,-70.5227949793814,810.112381939452,130.357055779518
"357",1982,15,139.236286919831,40.2196905527426,-70.6182138059072,813.19992637508,122.040273455686
"358",1983,15,106.607843137255,39.1595588088235,-71.855800622549,653.244366474525,115.928675621342
"359",1984,15,123.247058823529,39.7089215764706,-71.2150980529412,735.426429115459,125.639081797848
"360",1985,15,126.344339622642,39.987499995283,-70.7389150849057,786.144084269017,129.649436990332
"361",1986,15,129.47619047619,40.3797924578755,-70.3388889157509,842.471645281687,128.276058663005
"362",1987,15,120.294545454545,39.93933332,-71.0274545563636,766.263848350536,118.830692539097
"363",1988,15,115.655339805825,40.0103560145631,-71.2470873349515,759.423439538256,104.709487812628
"364",1989,15,119.080717488789,39.796337793722,-71.2581464618834,740.501838943855,115.082426279297
"365",1990,15,108.725490196078,39.9913071882353,-71.0758823686274,766.976856197884,111.811662532883
"366",1991,15,121.553435114504,40.4326972442748,-70.332633591603,847.012691774026,122.042167817157
"367",1992,15,118.775229357798,40.0820336743119,-70.9276758165138,782.892821760692,114.10564849593
"368",1993,15,121.303797468354,40.1310126413502,-70.6414908438819,803.457976299621,127.168213005154
"369",1994,15,111.253112033195,40.0743430456432,-70.435546373444,811.196869098507,127.919248324633
"370",1995,15,104.965156794425,40.3555749059233,-70.6408826933798,822.562473608501,109.42513949494
"371",1996,15,106.693140794224,40.0865824404332,-70.491576400722,808.40563018811,124.567584881062
"372",1997,15,106.085409252669,40.3645314768683,-70.5199881281139,829.99668519195,114.078453332063
"373",1998,15,108.735915492958,40.4270539823944,-70.6610328661972,827.472582421137,100.269652489812
"374",1999,15,103.521428571429,40.4663892607143,-70.7117154428571,827.92857939846,104.910891555324
"375",2000,15,103.575510204082,40.2992707755102,-70.9339714285714,800.719348522106,102.350051765678
"376",2001,15,120.537190082645,40.0524041859504,-71.2209223801653,763.771215826069,101.630479469054
"377",2002,15,107.164948453608,40.245016580756,-71.3787829243986,771.029441540411,89.0103631018126
"378",2003,15,127.6640625,40.0687774101563,-70.7670792460937,791.950766369095,118.632354505671
"379",2004,15,118.300492610837,39.6387334827586,-71.7458361083744,699.224776837493,96.6974001842006
"380",2005,15,119.935323383085,39.6973502089552,-71.4018896616915,722.990994346083,113.665827414884
"381",2006,15,103.81684981685,40.010185040293,-71.4894727985348,744.705064063622,93.7948381595447
"382",2007,15,118.756944444444,39.6080604652778,-72.0069223090278,681.544099111407,94.0495217335106
"383",2008,15,100.654545454545,39.7541299090909,-71.8195441781818,704.403489446882,94.690459653954
"384",2009,15,113.728096676737,39.747511163142,-71.7320332900302,709.416417750519,95.5669015016512
"385",2010,15,126.512578616352,39.6973148773585,-71.7479651761006,704.26271963521,99.166809346824
"386",2011,15,121.759146341463,39.6277473079268,-72.0064323079268,684.120421265306,92.5919203417834
"387",2012,15,111.564643799472,40.1308785936675,-71.5571232295515,751.801368960671,92.9024046042234
"388",2013,15,NA,NA,NA,NA,NA
"389",2014,15,129.140186915888,40.7702380218069,-70.1242630778816,887.558435742724,124.940196598837
"390",2015,15,127.451724137931,39.6626428344828,-71.7706898482759,700.200622531436,103.276290655682
"391",2016,15,106.702830188679,40.6894925518868,-70.7048884386792,847.358410178458,100.374377419471
"392",2017,15,111.218461538462,39.5360376461538,-72.2237517784615,663.372125543512,89.5750500054729
"393",2018,15,96.3949275362319,38.8598785688406,-73.0784939673913,557.297906255532,77.2852199425902
"394",2019,15,108.150442477876,39.5935288289086,-72.2666304454277,665.520427939824,83.7351301569994
"395",2020,15,66.9781420765027,38.2478169289617,-74.2692213278688,436.023769622891,60.5676845238727
"396",2021,15,121.606060606061,40.5819528666667,-70.7592007242424,834.416272913789,108.207702521796
"397",2022,15,113.295739348371,40.1422331203008,-71.3033684310777,766.137591130072,99.7656785987543
"398",2023,15,96.2,41.2317190142857,-67.9752500142857,1049.93601340916,165.919090672356
"399",2024,15,110.866666666667,39.9895847413333,-71.9521169253333,716.706140203551,81.4231453659731
"400",1968,16,NA,NA,NA,NA,NA
"401",1969,16,NA,NA,NA,NA,NA
"402",1970,16,NA,NA,NA,NA,NA
"403",1971,16,NA,NA,NA,NA,NA
"404",1972,16,NA,NA,NA,NA,NA
"405",1973,16,NA,NA,NA,NA,NA
"406",1974,16,NA,NA,NA,NA,NA
"407",1975,16,NA,NA,NA,NA,NA
"408",1976,16,NA,NA,NA,NA,NA
"409",1977,16,NA,NA,NA,NA,NA
"410",1978,16,NA,NA,NA,NA,NA
"411",1979,16,NA,NA,NA,NA,NA
"412",1980,16,NA,NA,NA,NA,NA
"413",1981,16,NA,NA,NA,NA,NA
"414",1982,16,NA,NA,NA,NA,NA
"415",1983,16,NA,NA,NA,NA,NA
"416",1984,16,NA,NA,NA,NA,NA
"417",1985,16,NA,NA,NA,NA,NA
"418",1986,16,NA,NA,NA,NA,NA
"419",1987,16,NA,NA,NA,NA,NA
"420",1988,16,NA,NA,NA,NA,NA
"421",1989,16,NA,NA,NA,NA,NA
"422",1990,16,NA,NA,NA,NA,NA
"423",1991,16,NA,NA,NA,NA,NA
"424",1992,16,NA,NA,NA,NA,NA
"425",1993,16,NA,NA,NA,NA,NA
"426",1994,16,NA,NA,NA,NA,NA
"427",1995,16,NA,NA,NA,NA,NA
"428",1996,16,NA,NA,NA,NA,NA
"429",1997,16,NA,NA,NA,NA,NA
"430",1998,16,NA,NA,NA,NA,NA
"431",1999,16,NA,NA,NA,NA,NA
"432",2000,16,NA,NA,NA,NA,NA
"433",2001,16,NA,NA,NA,NA,NA
"434",2002,16,NA,NA,NA,NA,NA
"435",2003,16,NA,NA,NA,NA,NA
"436",2004,16,NA,NA,NA,NA,NA
"437",2005,16,NA,NA,NA,NA,NA
"438",2006,16,NA,NA,NA,NA,NA
"439",2007,16,NA,NA,NA,NA,NA
"440",2008,16,NA,NA,NA,NA,NA
"441",2009,16,NA,NA,NA,NA,NA
"442",2010,16,NA,NA,NA,NA,NA
"443",2011,16,NA,NA,NA,NA,NA
"444",2012,16,NA,NA,NA,NA,NA
"445",2013,16,NA,NA,NA,NA,NA
"446",2014,16,NA,NA,NA,NA,NA
"447",2015,16,NA,NA,NA,NA,NA
"448",2016,16,NA,NA,NA,NA,NA
"449",2017,16,NA,NA,NA,NA,NA
"450",2018,16,NA,NA,NA,NA,NA
"451",2019,16,NA,NA,NA,NA,NA
"452",2020,16,NA,NA,NA,NA,NA
"453",2021,16,NA,NA,NA,NA,NA
"454",2022,16,NA,NA,NA,NA,NA
"455",2023,16,NA,NA,NA,NA,NA
"456",2024,16,NA,NA,NA,NA,NA
"457",1968,18,NA,NA,NA,NA,NA
"458",1969,18,NA,NA,NA,NA,NA
"459",1970,18,NA,NA,NA,NA,NA
"460",1971,18,NA,NA,NA,NA,NA
"461",1972,18,NA,NA,NA,NA,NA
"462",1973,18,NA,NA,NA,NA,NA
"463",1974,18,NA,NA,NA,NA,NA
"464",1975,18,NA,NA,NA,NA,NA
"465",1976,18,NA,NA,NA,NA,NA
"466",1977,18,NA,NA,NA,NA,NA
"467",1978,18,NA,NA,NA,NA,NA
"468",1979,18,NA,NA,NA,NA,NA
"469",1980,18,NA,NA,NA,NA,NA
"470",1981,18,NA,NA,NA,NA,NA
"471",1982,18,NA,NA,NA,NA,NA
"472",1983,18,NA,NA,NA,NA,NA
"473",1984,18,NA,NA,NA,NA,NA
"474",1985,18,NA,NA,NA,NA,NA
"475",1986,18,NA,NA,NA,NA,NA
"476",1987,18,NA,NA,NA,NA,NA
"477",1988,18,NA,NA,NA,NA,NA
"478",1989,18,NA,NA,NA,NA,NA
"479",1990,18,NA,NA,NA,NA,NA
"480",1991,18,NA,NA,NA,NA,NA
"481",1992,18,NA,NA,NA,NA,NA
"482",1993,18,NA,NA,NA,NA,NA
"483",1994,18,NA,NA,NA,NA,NA
"484",1995,18,NA,NA,NA,NA,NA
"485",1996,18,NA,NA,NA,NA,NA
"486",1997,18,NA,NA,NA,NA,NA
"487",1998,18,NA,NA,NA,NA,NA
"488",1999,18,NA,NA,NA,NA,NA
"489",2000,18,NA,NA,NA,NA,NA
"490",2001,18,NA,NA,NA,NA,NA
"491",2002,18,NA,NA,NA,NA,NA
"492",2003,18,NA,NA,NA,NA,NA
"493",2004,18,NA,NA,NA,NA,NA
"494",2005,18,NA,NA,NA,NA,NA
"495",2006,18,NA,NA,NA,NA,NA
"496",2007,18,NA,NA,NA,NA,NA
"497",2008,18,NA,NA,NA,NA,NA
"498",2009,18,NA,NA,NA,NA,NA
"499",2010,18,NA,NA,NA,NA,NA
