"","YR","SP","DEPTH","LAT","LON","ASDIST","DTEOC"
"1",1968,1,NA,NA,NA,NA,NA
"2",1969,1,NA,NA,NA,NA,NA
"3",1970,1,NA,NA,NA,NA,NA
"4",1971,1,NA,NA,NA,NA,NA
"5",1972,1,NA,NA,NA,NA,NA
"6",1973,1,NA,NA,NA,NA,NA
"7",1974,1,NA,NA,NA,NA,NA
"8",1975,1,NA,NA,NA,NA,NA
"9",1976,1,NA,NA,NA,NA,NA
"10",1977,1,NA,NA,NA,NA,NA
"11",1978,1,NA,NA,NA,NA,NA
"12",1979,1,NA,NA,NA,NA,NA
"13",1980,1,NA,NA,NA,NA,NA
"14",1981,1,NA,NA,NA,NA,NA
"15",1982,1,NA,NA,NA,NA,NA
"16",1983,1,NA,NA,NA,NA,NA
"17",1984,1,NA,NA,NA,NA,NA
"18",1985,1,NA,NA,NA,NA,NA
"19",1986,1,NA,NA,NA,NA,NA
"20",1987,1,NA,NA,NA,NA,NA
"21",1988,1,NA,NA,NA,NA,NA
"22",1989,1,NA,NA,NA,NA,NA
"23",1990,1,NA,NA,NA,NA,NA
"24",1991,1,NA,NA,NA,NA,NA
"25",1992,1,NA,NA,NA,NA,NA
"26",1993,1,NA,NA,NA,NA,NA
"27",1994,1,NA,NA,NA,NA,NA
"28",1995,1,NA,NA,NA,NA,NA
"29",1996,1,NA,NA,NA,NA,NA
"30",1997,1,NA,NA,NA,NA,NA
"31",1998,1,NA,NA,NA,NA,NA
"32",1999,1,NA,NA,NA,NA,NA
"33",2000,1,NA,NA,NA,NA,NA
"34",2001,1,NA,NA,NA,NA,NA
"35",2002,1,NA,NA,NA,NA,NA
"36",2003,1,NA,NA,NA,NA,NA
"37",2004,1,NA,NA,NA,NA,NA
"38",2005,1,NA,NA,NA,NA,NA
"39",2006,1,NA,NA,NA,NA,NA
"40",2007,1,NA,NA,NA,NA,NA
"41",2008,1,NA,NA,NA,NA,NA
"42",2009,1,NA,NA,NA,NA,NA
"43",2010,1,NA,NA,NA,NA,NA
"44",2011,1,NA,NA,NA,NA,NA
"45",2012,1,NA,NA,NA,NA,NA
"46",2013,1,NA,NA,NA,NA,NA
"47",2014,1,NA,NA,NA,NA,NA
"48",2015,1,NA,NA,NA,NA,NA
"49",2016,1,NA,NA,NA,NA,NA
"50",2017,1,NA,NA,NA,NA,NA
"51",2018,1,NA,NA,NA,NA,NA
"52",2019,1,NA,NA,NA,NA,NA
"53",2020,1,NA,NA,NA,NA,NA
"54",2021,1,NA,NA,NA,NA,NA
"55",2022,1,NA,NA,NA,NA,NA
"56",2023,1,NA,NA,NA,NA,NA
"57",2024,1,NA,NA,NA,NA,NA
"58",1968,2,NA,NA,NA,NA,NA
"59",1969,2,NA,NA,NA,NA,NA
"60",1970,2,NA,NA,NA,NA,NA
"61",1971,2,NA,NA,NA,NA,NA
"62",1972,2,NA,NA,NA,NA,NA
"63",1973,2,NA,NA,NA,NA,NA
"64",1974,2,NA,NA,NA,NA,NA
"65",1975,2,NA,NA,NA,NA,NA
"66",1976,2,NA,NA,NA,NA,NA
"67",1977,2,NA,NA,NA,NA,NA
"68",1978,2,NA,NA,NA,NA,NA
"69",1979,2,NA,NA,NA,NA,NA
"70",1980,2,NA,NA,NA,NA,NA
"71",1981,2,NA,NA,NA,NA,NA
"72",1982,2,NA,NA,NA,NA,NA
"73",1983,2,NA,NA,NA,NA,NA
"74",1984,2,NA,NA,NA,NA,NA
"75",1985,2,NA,NA,NA,NA,NA
"76",1986,2,NA,NA,NA,NA,NA
"77",1987,2,NA,NA,NA,NA,NA
"78",1988,2,NA,NA,NA,NA,NA
"79",1989,2,NA,NA,NA,NA,NA
"80",1990,2,NA,NA,NA,NA,NA
"81",1991,2,NA,NA,NA,NA,NA
"82",1992,2,NA,NA,NA,NA,NA
"83",1993,2,NA,NA,NA,NA,NA
"84",1994,2,NA,NA,NA,NA,NA
"85",1995,2,NA,NA,NA,NA,NA
"86",1996,2,NA,NA,NA,NA,NA
"87",1997,2,NA,NA,NA,NA,NA
"88",1998,2,NA,NA,NA,NA,NA
"89",1999,2,NA,NA,NA,NA,NA
"90",2000,2,NA,NA,NA,NA,NA
"91",2001,2,NA,NA,NA,NA,NA
"92",2002,2,NA,NA,NA,NA,NA
"93",2003,2,NA,NA,NA,NA,NA
"94",2004,2,NA,NA,NA,NA,NA
"95",2005,2,NA,NA,NA,NA,NA
"96",2006,2,NA,NA,NA,NA,NA
"97",2007,2,NA,NA,NA,NA,NA
"98",2008,2,NA,NA,NA,NA,NA
"99",2009,2,NA,NA,NA,NA,NA
"100",2010,2,NA,NA,NA,NA,NA
"101",2011,2,NA,NA,NA,NA,NA
"102",2012,2,NA,NA,NA,NA,NA
"103",2013,2,NA,NA,NA,NA,NA
"104",2014,2,NA,NA,NA,NA,NA
"105",2015,2,NA,NA,NA,NA,NA
"106",2016,2,NA,NA,NA,NA,NA
"107",2017,2,NA,NA,NA,NA,NA
"108",2018,2,NA,NA,NA,NA,NA
"109",2019,2,NA,NA,NA,NA,NA
"110",2020,2,NA,NA,NA,NA,NA
"111",2021,2,NA,NA,NA,NA,NA
"112",2022,2,NA,NA,NA,NA,NA
"113",2023,2,NA,NA,NA,NA,NA
"114",2024,2,NA,NA,NA,NA,NA
"115",1968,4,NA,NA,NA,NA,NA
"116",1969,4,NA,NA,NA,NA,NA
"117",1970,4,NA,NA,NA,NA,NA
"118",1971,4,NA,NA,NA,NA,NA
"119",1972,4,NA,NA,NA,NA,NA
"120",1973,4,NA,NA,NA,NA,NA
"121",1974,4,NA,NA,NA,NA,NA
"122",1975,4,NA,NA,NA,NA,NA
"123",1976,4,NA,NA,NA,NA,NA
"124",1977,4,NA,NA,NA,NA,NA
"125",1978,4,NA,NA,NA,NA,NA
"126",1979,4,NA,NA,NA,NA,NA
"127",1980,4,NA,NA,NA,NA,NA
"128",1981,4,NA,NA,NA,NA,NA
"129",1982,4,NA,NA,NA,NA,NA
"130",1983,4,NA,NA,NA,NA,NA
"131",1984,4,NA,NA,NA,NA,NA
"132",1985,4,NA,NA,NA,NA,NA
"133",1986,4,NA,NA,NA,NA,NA
"134",1987,4,NA,NA,NA,NA,NA
"135",1988,4,NA,NA,NA,NA,NA
"136",1989,4,NA,NA,NA,NA,NA
"137",1990,4,NA,NA,NA,NA,NA
"138",1991,4,NA,NA,NA,NA,NA
"139",1992,4,NA,NA,NA,NA,NA
"140",1993,4,NA,NA,NA,NA,NA
"141",1994,4,NA,NA,NA,NA,NA
"142",1995,4,NA,NA,NA,NA,NA
"143",1996,4,NA,NA,NA,NA,NA
"144",1997,4,NA,NA,NA,NA,NA
"145",1998,4,NA,NA,NA,NA,NA
"146",1999,4,NA,NA,NA,NA,NA
"147",2000,4,NA,NA,NA,NA,NA
"148",2001,4,NA,NA,NA,NA,NA
"149",2002,4,NA,NA,NA,NA,NA
"150",2003,4,NA,NA,NA,NA,NA
"151",2004,4,NA,NA,NA,NA,NA
"152",2005,4,NA,NA,NA,NA,NA
"153",2006,4,NA,NA,NA,NA,NA
"154",2007,4,NA,NA,NA,NA,NA
"155",2008,4,NA,NA,NA,NA,NA
"156",2009,4,NA,NA,NA,NA,NA
"157",2010,4,NA,NA,NA,NA,NA
"158",2011,4,NA,NA,NA,NA,NA
"159",2012,4,NA,NA,NA,NA,NA
"160",2013,4,NA,NA,NA,NA,NA
"161",2014,4,NA,NA,NA,NA,NA
"162",2015,4,NA,NA,NA,NA,NA
"163",2016,4,NA,NA,NA,NA,NA
"164",2017,4,NA,NA,NA,NA,NA
"165",2018,4,NA,NA,NA,NA,NA
"166",2019,4,NA,NA,NA,NA,NA
"167",2020,4,NA,NA,NA,NA,NA
"168",2021,4,NA,NA,NA,NA,NA
"169",2022,4,NA,NA,NA,NA,NA
"170",2023,4,NA,NA,NA,NA,NA
"171",2024,4,NA,NA,NA,NA,NA
"172",1968,9,NA,NA,NA,NA,NA
"173",1969,9,NA,NA,NA,NA,NA
"174",1970,9,NA,NA,NA,NA,NA
"175",1971,9,NA,NA,NA,NA,NA
"176",1972,9,NA,NA,NA,NA,NA
"177",1973,9,NA,NA,NA,NA,NA
"178",1974,9,NA,NA,NA,NA,NA
"179",1975,9,NA,NA,NA,NA,NA
"180",1976,9,NA,NA,NA,NA,NA
"181",1977,9,NA,NA,NA,NA,NA
"182",1978,9,NA,NA,NA,NA,NA
"183",1979,9,NA,NA,NA,NA,NA
"184",1980,9,NA,NA,NA,NA,NA
"185",1981,9,NA,NA,NA,NA,NA
"186",1982,9,NA,NA,NA,NA,NA
"187",1983,9,NA,NA,NA,NA,NA
"188",1984,9,NA,NA,NA,NA,NA
"189",1985,9,NA,NA,NA,NA,NA
"190",1986,9,NA,NA,NA,NA,NA
"191",1987,9,NA,NA,NA,NA,NA
"192",1988,9,NA,NA,NA,NA,NA
"193",1989,9,NA,NA,NA,NA,NA
"194",1990,9,NA,NA,NA,NA,NA
"195",1991,9,NA,NA,NA,NA,NA
"196",1992,9,NA,NA,NA,NA,NA
"197",1993,9,NA,NA,NA,NA,NA
"198",1994,9,NA,NA,NA,NA,NA
"199",1995,9,NA,NA,NA,NA,NA
"200",1996,9,NA,NA,NA,NA,NA
"201",1997,9,NA,NA,NA,NA,NA
"202",1998,9,NA,NA,NA,NA,NA
"203",1999,9,NA,NA,NA,NA,NA
"204",2000,9,NA,NA,NA,NA,NA
"205",2001,9,NA,NA,NA,NA,NA
"206",2002,9,NA,NA,NA,NA,NA
"207",2003,9,NA,NA,NA,NA,NA
"208",2004,9,NA,NA,NA,NA,NA
"209",2005,9,NA,NA,NA,NA,NA
"210",2006,9,NA,NA,NA,NA,NA
"211",2007,9,NA,NA,NA,NA,NA
"212",2008,9,NA,NA,NA,NA,NA
"213",2009,9,NA,NA,NA,NA,NA
"214",2010,9,NA,NA,NA,NA,NA
"215",2011,9,NA,NA,NA,NA,NA
"216",2012,9,NA,NA,NA,NA,NA
"217",2013,9,NA,NA,NA,NA,NA
"218",2014,9,NA,NA,NA,NA,NA
"219",2015,9,NA,NA,NA,NA,NA
"220",2016,9,NA,NA,NA,NA,NA
"221",2017,9,NA,NA,NA,NA,NA
"222",2018,9,NA,NA,NA,NA,NA
"223",2019,9,NA,NA,NA,NA,NA
"224",2020,9,NA,NA,NA,NA,NA
"225",2021,9,NA,NA,NA,NA,NA
"226",2022,9,NA,NA,NA,NA,NA
"227",2023,9,NA,NA,NA,NA,NA
"228",2024,9,NA,NA,NA,NA,NA
