SVSPP,SPNAME,SCINAME
1,ATLANTIC HAGFISH,MYXINE GLUTINOSA
2,SEA LAMPREY,PETROMYZON MARINUS
4,ROUGHTAIL STINGRAY,DASYATIS CENTROURA
9,SANDBAR SHARK,CARCHARHINUS PLUMBEUS
13,SMOOTH DOGFISH,MUSTELUS CANIS
14,CHAIN DOGFISH,SCYLIORHINUS RETIFER
15,SPINY DOGFISH,SQUALUS ACANTHIAS
16,ATLANTIC ANGEL SHARK,SQUATINA DUMERIL
18,BLUNTNOSE STINGRAY,DASYATIS SAY
19,BULLNOSE RAY,MYLIOBATIS FREMINVILLEI
21,ATLANTIC TORPEDO,TORPEDO NOBILIANA
22,BARNDOOR SKATE,DIPTURUS LAEVIS
23,WINTER SKATE,LEUCORAJA OCELLATA
24,CLEARNOSE SKATE,RAJA EGLANTERIA
25,ROSETTE SKATE,LEUCORAJA GARMANI
26,LITTLE SKATE,LEUCORAJA ERINACEA
27,SMOOTH SKATE,MALACORAJA SENTA
28,THORNY SKATE,AMBLYRAJA RADIATA
29,SOUTHERN STINGRAY,DASYATIS AMERICANA
31,ROUND HERRING,ETRUMEUS TERES
32,ATLANTIC HERRING,CLUPEA HARENGUS
33,ALEWIFE,ALOSA PSEUDOHARENGUS
34,BLUEBACK HERRING,ALOSA AESTIVALIS
35,AMERICAN SHAD,ALOSA SAPIDISSIMA
36,ATLANTIC MENHADEN,BREVOORTIA TYRANNUS
43,BAY ANCHOVY,ANCHOA MITCHILLI
44,STRIPED ANCHOVY,ANCHOA HEPSETUS
45,RAINBOW SMELT,OSMERUS MORDAX
46,ATLANTIC ARGENTINE,ARGENTINA SILUS
63,CONGER EEL,CONGER OCEANICUS
67,SLENDER SNIPE EEL,NEMICHTHYS SCOLOPACEUS
69,OFFSHORE HAKE,MERLUCCIUS ALBIDUS
72,SILVER HAKE,MERLUCCIUS BILINEARIS
73,ATLANTIC COD,GADUS MORHUA
74,HADDOCK,MELANOGRAMMUS AEGLEFINUS
75,POLLOCK,POLLACHIUS VIRENS
76,WHITE HAKE,UROPHYCIS TENUIS
77,RED HAKE,UROPHYCIS CHUSS
78,SPOTTED HAKE,UROPHYCIS REGIA
79,LONGFIN HAKE,UROPHYCIS CHESTERI
83,FOURBEARD ROCKLING,ENCHELYOPUS CIMBRIUS
84,CUSK,BROSME BROSME
91,MARLIN-SPIKE,NEZUMIA BAIRDI
101,ATLANTIC HALIBUT,HIPPOGLOSSUS HIPPOGLOSSUS
102,AMERICAN PLAICE,HIPPOGLOSSOIDES PLATESSOIDES
103,SUMMER FLOUNDER,PARALICHTHYS DENTATUS
104,FOURSPOT FLOUNDER,PARALICHTHYS OBLONGUS
105,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA
106,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS
107,WITCH FLOUNDER,GLYPTOCEPHALUS CYNOGLOSSUS
108,WINDOWPANE,SCOPHTHALMUS AQUOSUS
109,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS
111,LONGSPINE SNIPEFISH,MACRORHAMPHOSUS SCOLOPAX
112,BUCKLER DORY,ZENOPSIS CONCHIFERA
