LON,LAT
-78.42,33.92
-77.17,34.67
-76.33,35
-76.83,35
-76.33,35.33
-75.83,35.58
-76.25,35.92
-76.75,35.92
-76,36.17
-75.5,35.75
-75.75,36.08
-76,36.83
-76.42,37.5
-76.92,38.25
-76.42,38.17
-76.58,39
-76,39.5
-76.17,39.17
-76.33,38.42
-76,38
-75.83,37.67
-76,37.17
-75.75,37.25
-75,38.42
-75.58,39.5
-75.25,39.33
-74.5,39.33
-74,40.33
-74,40.83
-73,41.25
-72,41.25
-71.5,41.42
-71.33,41.75
-70.67,41.67
-70,41.67
-70,42
-70,41.75
-71,42.33
-70.58,43.17
-70.25,43.67
-69.17,44
-67,44.83
-64.83,45.67
-64.25,45.42
-65.92,44.58
-66,43.75
-65,43.83
-64.17,44.5
-61.17,45.17
